schoolid,grade,typename,role,title,typeid,status
1764922,2,德育,3,文明礼貌,1,success
1764922,2,德育,3,勤俭节约,1,success
1764922,2,德育,3,热爱劳动,1,success
1764922,2,德育,3,爱护环境,1,success
1764922,2,德育,3,珍爱生命,1,success
1764922,2,德育,3,遵纪守法,1,success
1764922,2,德育,3,遵纪守法,1,同年级标签不能重复
1764922,2,德育,3,诚实守信,1,success
1764922,2,德育,3,团结友善,1,success
1764922,2,德育,3,乐于助人,1,success
1764922,2,德育,3,自尊自信,1,success
1764922,2,德育,3,自律自强,1,success
1764922,2,德育,3,尊重他人,1,success
1764922,2,德育,3,乐观向上,1,success
1764922,2,德育,3,爱国情感,1,success
1764922,2,德育,3,民族认同,1,success
1764922,2,德育,3,社会责任,1,success
1764922,2,德育,3,集体意识,1,success
1764922,2,德育,3,人生理想,1,success
1764922,2,智育,3,语文,2,success
1764922,2,智育,3,数学,2,success
1764922,2,智育,3,英语,2,success
1764922,2,智育,3,道德法治,2,success
1764922,2,智育,3,科学,2,success
1764922,2,智育,3,音乐,2,success
1764922,2,智育,3,美术,2,success
1764922,2,智育,3,综合实践,2,success
1764922,2,智育,3,地方课程,2,success
1764922,2,智育,3,活动,2,success
1764922,2,智育,3,思想方法,2,success
1764922,2,智育,3,实践能力,2,success
1764922,2,智育,3,创新意识,2,success
1764922,2,体育,3,身体机能,3,success
1764922,2,体育,3,健康生活,3,success
1764922,2,体育,3,审美修养,3,success
1764922,2,体育,3,情绪行为,3,success
1764922,2,体育,3,人际沟通,3,success
1764922,2,美育,3,好奇心,4,success
1764922,2,美育,3,爱好特长,4,success
1764922,2,美育,3,潜能发展,4,success
1764922,2,智育,3,学习时间,2,success
1764922,2,智育,3,课业质量,2,success
1764922,2,智育,3,课业难度,2,success
1764922,2,智育,3,学习压力,2,success
