schoolid,grade,typename,role,title,typeid,status
1764922,2,德育,2,文明礼貌,1,success
1764922,2,德育,2,勤俭节约,1,success
1764922,2,德育,2,热爱劳动,1,success
1764922,2,德育,2,爱护环境,1,success
1764922,2,德育,2,珍爱生命,1,success
1764922,2,德育,2,遵纪守法,1,success
1764922,2,德育,2,诚实守信,1,success
1764922,2,德育,2,团结友善,1,success
1764922,2,德育,2,乐于助人,1,success
1764922,2,德育,2,自尊自信,1,success
1764922,2,德育,2,自律自强,1,success
1764922,2,德育,2,尊重他人,1,success
1764922,2,德育,2,乐观向上,1,success
1764922,2,德育,2,爱国情感,1,success
1764922,2,德育,2,民族认同,1,success
1764922,2,德育,2,社会责任,1,success
1764922,2,德育,2,集体意识,1,success
1764922,2,德育,2,人生理想,1,success
1764922,2,智育,2,知识技能,2,success
1764922,2,智育,2,实践能力,2,success
1764922,2,智育,2,创新意识,2,success
1764922,2,体育,2,身体机能,3,success
1764922,2,体育,2,健康生活,3,success
1764922,2,体育,2,审美修养,3,success
1764922,2,体育,2,情绪行为,3,success
1764922,2,体育,2,人际沟通,3,success
1764922,2,美育,2,好奇心,4,success
1764922,2,美育,2,爱好特长,4,success
1764922,2,美育,2,潜能发展,4,success
1764922,2,智育,2,学习时间,2,success
1764922,2,智育,2,课业质量,2,success
1764922,2,智育,2,课业难度,2,success
1764922,2,智育,2,学习压力,2,success
